core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
1,RPAS_8121,CONCAT,4.32,96,4,27,0,0,0,128,0,0,0
1,RPAS_8428,NOTIFY,4.08,96,4,27,0,0,0,128,0,0,0
1,RPAS_8505,POLL,4.72,96,4,27,0,0,0,128,0,0,0
1,5721,TFU,98.8,155,3,25,10036,7018,0,128,256000,128000,0
1,RPAS_8209,NOTIFY,4.92,96,4,27,0,0,0,128,0,0,0
1,RPAS_8643,POLL,4.12,96,4,27,0,0,0,128,0,0,0
1,RPAS_7899,ACTIVE,4.12,96,4,27,0,0,0,128,0,0,0
1,RPAS_8310,NOTIFY,6,96,4,27,0,0,0,128,0,0,0
1,RPAS_8644,POLL,6.36,96,4,27,0,0,0,128,0,0,0
1,RPAS_7900,MULT,5.64,96,4,27,0,0,0,128,0,0,0
1,RPAS_8124,SPLIT,5.6,96,4,27,0,0,0,128,0,0,0
1,7902,MOVE,4.52,106,5,30,0,0,0,128,0,0,0
1,7901,CONV,308.6,451,5,231,27000,9308,385152,32128,0,0,0
1,7904,ACTIVE,35.72,290,9,112,0,1355,34432,32128,0,0,0
1,RPAS_8127,CONCAT,4.88,96,4,27,0,0,0,128,0,0,0
1,RPAS_8431,NOTIFY,28.84,96,4,27,0,0,0,128,0,0,0
1,RPAS_8696,POLL,5.8,96,4,27,0,0,0,128,0,0,0
1,RPAS_8128,CONCAT,4.92,96,4,27,0,0,0,128,0,0,0
1,RPAS_8432,NOTIFY,4.52,96,4,27,0,0,0,128,0,0,0
1,RPAS_8125,CONCAT,4,96,4,27,0,0,0,128,0,0,0
1,RPAS_8126,CONCAT,3.6,96,4,27,0,0,0,128,0,0,0
1,RPAS_8430,NOTIFY,4.84,96,4,27,0,0,0,128,0,0,0
1,RPAS_8506,POLL,6.2,96,4,27,0,0,0,128,0,0,0
1,5722,TFU,97.16,155,3,25,10036,7018,0,128,256000,128000,0
1,RPAS_8210,NOTIFY,5.28,96,4,27,0,0,0,128,0,0,0
1,RPAS_8645,POLL,5.4,96,4,27,0,0,0,128,0,0,0
1,RPAS_7905,ACTIVE,6.12,96,4,27,0,0,0,128,0,0,0
1,RPAS_8311,NOTIFY,5.92,96,4,27,0,0,0,128,0,0,0
1,RPAS_8646,POLL,4.2,96,4,27,0,0,0,128,0,0,0
1,RPAS_7906,MULT,11.68,96,4,27,0,0,0,128,0,0,0
1,RPAS_8129,SPLIT,5.52,96,4,27,0,0,0,128,0,0,0
1,7908,MOVE,4.92,106,5,30,0,0,0,128,0,0,0
1,7907,CONV,297.36,451,5,231,27000,9308,385152,32128,0,0,0
1,7910,ACTIVE,40.32,290,9,112,0,1355,34432,32128,0,0,0
1,RPAS_8132,CONCAT,3.6,96,4,27,0,0,0,128,0,0,0
1,RPAS_8435,NOTIFY,3.96,96,4,27,0,0,0,128,0,0,0
1,RPAS_8698,POLL,4.4,96,4,27,0,0,0,128,0,0,0
1,RPAS_8133,CONCAT,3.16,96,4,27,0,0,0,128,0,0,0
1,RPAS_8130,CONCAT,5.2,96,4,27,0,0,0,128,0,0,0
1,RPAS_8433,NOTIFY,3.72,96,4,27,0,0,0,128,0,0,0
1,RPAS_8697,POLL,4.6,96,4,27,0,0,0,128,0,0,0
1,RPAS_8131,CONCAT,4.48,96,4,27,0,0,0,128,0,0,0
1,RPAS_8434,NOTIFY,4.36,96,4,27,0,0,0,128,0,0,0
1,RPAS_8507,POLL,5.84,96,4,27,0,0,0,128,0,0,0
1,5723,TFU,98.72,155,3,25,10036,7018,0,128,256000,128000,0
1,RPAS_8211,NOTIFY,4.92,96,4,27,0,0,0,128,0,0,0
1,RPAS_8647,POLL,6,96,4,27,0,0,0,128,0,0,0
1,RPAS_7911,ACTIVE,6.68,96,4,27,0,0,0,128,0,0,0
1,RPAS_8648,POLL,5.04,96,4,27,0,0,0,128,0,0,0
1,RPAS_7912,MULT,8.32,96,4,27,0,0,0,128,0,0,0
1,RPAS_8134,SPLIT,8.76,96,4,27,0,0,0,128,0,0,0
1,7914,MOVE,4.52,106,5,30,0,0,0,128,0,0,0
1,7913,CONV,304.76,449,5,229,27000,9308,385024,32128,0,0,0
1,7916,ACTIVE,30.4,286,9,108,0,1355,34176,32128,0,0,0
1,7917,MULT,30.4,194,8,74,0,250,64128,32256,0,0,0
1,RPAS_8136,CONCAT,5,96,4,27,0,0,0,128,0,0,0
1,RPAS_7918,CONCAT,3.92,96,4,27,0,0,0,128,0,0,0
1,7919,CONV,141.32,188,5,77,10000,6012,257408,64128,0,0,0
1,7922,ACTIVE,39.52,286,9,108,0,2605,66176,64128,0,0,0
1,7923,MULT,43.52,192,8,72,0,500,128000,64128,0,0,0
1,7924,CONV,35.64,157,5,69,2000,1802,64128,51200,0,0,0
1,7926,ADD,78.56,276,9,117,0,399,102656,51200,0,0,0
1,7927,ADD,51.04,327,11,131,0,2499,104704,51200,0,0,0
1,RPAS_8312,NOTIFY,4.24,96,4,27,0,0,0,128,0,0,0
1,RPAS_8699,POLL,3.48,96,4,27,0,0,0,128,0,0,0
1,RPAS_8137,CONCAT,4.2,96,4,27,0,0,0,128,0,0,0
1,7929,PLUGIN,697.64,61506,88,48395,0,31595,1870720,2176,128,704,0
2,RPAS_8138,INIT_SYNC,5.24,96,4,27,0,0,0,128,0,0,0
2,8139,NOTIFY,8.72,114,5,35,0,1,128,256,0,0,0
2,RPAS_7493,STRIDEDSLICE,8.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_7494,STRIDEDSLICE,5.76,96,4,27,0,0,0,128,0,0,0
2,RPAS_8212,NOTIFY,4.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_7495,STRIDEDSLICE,8.76,96,4,27,0,0,0,128,0,0,0
2,RPAS_7496,STRIDEDSLICE,5.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8213,NOTIFY,5.08,96,4,27,0,0,0,128,0,0,0
